Date Time, Memory Used (GB)
2024-05-10 08:39:24, 49.76
2024-05-10 08:39:28, 49.93
2024-05-10 08:39:32, 52.82
2024-05-10 08:39:35, 50.26
2024-05-10 08:39:38, 50.45
2024-05-10 08:39:42, 50.67
2024-05-10 08:39:45, 50.87
2024-05-10 08:39:48, 51.09
2024-05-10 08:39:51, 56.16
2024-05-10 08:39:55, 51.36
2024-05-10 08:39:58, 51.54
2024-05-10 08:40:01, 51.73
2024-05-10 08:40:04, 51.97
2024-05-10 08:40:08, 52.17
2024-05-10 08:40:11, 57.09
2024-05-10 08:40:14, 52.39
2024-05-10 08:40:17, 52.61
2024-05-10 08:40:21, 52.72
2024-05-10 08:40:24, 52.93
2024-05-10 08:40:27, 53.10
2024-05-10 08:40:30, 59.34
2024-05-10 08:40:33, 53.33
2024-05-10 08:40:37, 53.51
2024-05-10 08:40:40, 53.70
2024-05-10 08:40:43, 53.86
2024-05-10 08:40:46, 54.03
2024-05-10 08:40:50, 59.15
2024-05-10 08:40:53, 54.28
2024-05-10 08:40:56, 54.42
2024-05-10 08:40:59, 54.72
2024-05-10 08:41:03, 54.83
2024-05-10 08:41:06, 55.01
2024-05-10 08:41:09, 57.90
2024-05-10 08:41:12, 55.24
2024-05-10 08:41:16, 55.37
2024-05-10 08:41:19, 55.56
2024-05-10 08:41:22, 55.76
2024-05-10 08:41:25, 55.96
2024-05-10 08:41:29, 56.16
2024-05-10 08:41:32, 64.97
2024-05-10 08:41:35, 56.32
2024-05-10 08:41:38, 56.51
2024-05-10 08:41:42, 56.69
2024-05-10 08:41:45, 56.90
2024-05-10 08:41:48, 58.90
2024-05-10 08:41:51, 68.37
2024-05-10 08:41:55, 74.99
2024-05-10 08:41:58, 58.13
2024-05-10 08:42:01, 56.93
2024-05-10 08:42:04, 57.14
2024-05-10 08:42:07, 57.40
2024-05-10 08:42:11, 57.52
2024-05-10 08:42:14, 57.72
2024-05-10 08:42:17, 57.90
2024-05-10 08:42:20, 58.10
2024-05-10 08:42:24, 58.29
2024-05-10 08:42:27, 58.49
2024-05-10 08:42:30, 58.69
2024-05-10 08:42:33, 58.88
2024-05-10 08:42:37, 59.04
2024-05-10 08:42:40, 59.24
2024-05-10 08:42:43, 59.46
2024-05-10 08:42:46, 59.66
2024-05-10 08:42:50, 59.88
2024-05-10 08:42:53, 60.00
2024-05-10 08:42:56, 60.19
2024-05-10 08:42:59, 60.39
